family,specification,horizon,fixed_phi,clean_phi,nonclean_phi,fixed_welfare,adaptive_welfare,gain,fixed_misconduct,adaptive_misconduct,adaptive_repeat,adaptive_effort,adaptive_quality,prediction_mse,nested_ok,allow_repeat
repeat_misconduct,b_1.5_d_0.65_T_20,20,0.9,0.0,0.9,-0.5208775510754057,-0.49095393699470014,0.02992361408070554,0.9999857791712203,0.9999857791712203,0.0,4.704203901235401,5.914144546763685,0.058402150564174575,True,True
repeat_misconduct,b_3_d_0.25_T_12,12,0.9,0.0,0.9,-0.23071334612359418,-0.22779764547714665,0.0029157006464475277,0.4999999999999997,0.4999999999999997,0.0,3.1782518723505926,4.095853248755061,0.05740088751906272,True,True
repeat_misconduct,b_3_d_0.25_T_20,20,0.9,0.0,0.9,-0.4826457015454366,-0.47969092556673454,0.0029547759787020844,0.999999999975408,0.999999999975408,0.0,4.8650404770352536,6.096990916707228,0.06123150411645003,True,True
repeat_misconduct,b_3_d_0.65_T_12,12,0.9,0.0,0.9,-0.23173622742113764,-0.22241381897806067,0.009322408443076968,0.4999999999536671,0.4999999999536671,0.0,3.1294699565820014,4.041295961286878,0.055764852674055614,True,True
repeat_misconduct,b_3_d_0.65_T_20,20,0.9,0.0,0.9,-0.49318373055442455,-0.48327539991059176,0.009908330643832786,0.9999999477170062,0.9999999477170062,0.0,4.8125933240753715,6.03735727225398,0.0602959602636284,True,True
direct_punishment,penalty_0,6,0.9,0.0,0.99,-0.455490823761756,-0.4155730045460902,0.039917819215665784,0.499691958619244,0.3054991414739911,0.0,0.08103916915254043,0.6479030534725406,0.045834087725477084,True,True
direct_punishment,penalty_0.25,6,0.9,0.0,0.99,-0.4664479382466856,-0.19229301539422156,0.27415492285246407,0.4979509053189195,0.10190022737787871,0.0,0.07715654048375688,0.6441371350592463,0.04588739651943631,True,True
direct_punishment,penalty_0.5,6,0.9,0.0,0.99,-0.4814096599092611,-0.08346454452862442,0.3979451153806367,0.4913693370775086,0.0,0.0,0.0756136390625,0.6426526261374061,0.045904988504541604,True,True
direct_punishment,penalty_1,6,0.9,0.0,0.99,-0.5048713527596481,-0.08346454452862442,0.4214068082310237,0.4273683204520431,0.0,0.0,0.0756136390625,0.6426526261374061,0.045904988504541604,True,True
direct_punishment,penalty_2,6,0.75,0.0,0.75,-0.027327279603789216,0.24480735560165023,0.27213463520543946,0.0453055596672528,0.0453055596672528,2.364390624999938e-05,0.8416059839981539,1.493235713634496,0.05484276116663947,True,True
heterogeneity,alpha_mix,6,0.9,0.0,0.99,-0.4623553653613957,-0.406407711208131,0.05594765415326469,0.7101265451946221,0.3054991414739911,0.0,0.08125145485284038,0.6660689842902024,0.04488256296524727,True,True
