r0,phi,effort,reputation,A_prime,A_second,attenuation,relocation,soc_denominator,de_dphi
-1.5,0.4599999999999999,1.0,0.7025001600000002,1.0587599360690336,-3.4454074569046087,-0.5376806459332979,3.853749159673561,4.080871746262681,1.3933857365509326
-1.5,0.4699999999999999,1.0,0.6866718800000001,1.1129207073656824,-3.392109110641661,-0.59002604221699,3.9324244799869037,3.9897727987823273,1.436517318207986
-1.5,0.4799999999999999,1.0,0.6701555200000002,1.1682146745033322,-3.2965287297989896,-0.6459759864133624,3.955864791755168,3.861802861282613,1.4696845056132213
-1.5,0.48999999999999994,1.0,0.6529364400000002,1.2237926924496838,-3.1508741603391424,-0.7051983010972055,3.908999987076995,3.692121203650391,1.4879573659722267
-1.5,0.49999999999999994,1.0,0.635,1.2785636301415273,-2.947490702457404,-0.7671381780849162,3.7757355898479337,3.4765627441990286,1.483934791750529
-1.5,0.5099999999999999,1.0,0.6163315600000003,1.331176057228336,-2.6795270024782862,-0.8309733419642161,3.539919942414096,3.2122117140538355,1.4460958979752911
-1.5,0.5199999999999999,1.0,0.5969164800000002,1.3800154946560619,-2.3418127500204133,-0.8955748554119976,3.186773727406215,2.898084596747422,1.3556654868396496
-1.5,0.5299999999999999,1.0,0.5767401200000002,1.4232249284464162,-1.9319206196901875,-0.9594813177614357,2.7047953536769294,2.535870916677281,1.180177280871808
-1.5,0.5399999999999999,1.0,0.5557878400000003,1.458756494774477,-1.4513301173098905,-1.02089614530297,2.0880613846048934,2.130638907267424,0.8588604985346272
-1.5,0.5499999999999999,1.0,0.5340450000000002,1.4844608403042754,-0.9065424208578466,-1.0777185700609038,1.3387063049429377,1.6913697564990118,0.26459543613651526
-1.5,0.5599999999999999,1.0,0.5114969600000002,1.4982169830394738,-0.3099260446448556,-1.1276180301148295,0.46920728885406127,1.2311521661800733,-0.9170351558409788
-1.5,0.57,1.0,0.4881290800000002,1.4980992043379588,0.3199734252002774,-1.1681578355745668,-0.49604313211179124,0.7668667604558095,-3.7212313226928884
-1.5,0.58,1.0,0.4639267200000001,1.482568954623629,0.9589196964125626,-1.196966871204933,-1.520459116679051,0.31823621196543495,-14.642287827477572
-1.5,0.59,1.0,0.4388752400000001,1.4506703522393067,1.5784410370724415,-1.2119480390748063,-2.5567807803316467,-0.09377810482292159,nan
